Email ID,Sender,Email Summary,Issue Type,Ideal Reply
020,Help MocoQueen <help@mocoqueen.com>,"Dear Marianna,  Thank you so much for getting back to us, and I truly understand the difficulty of the situation, especially with your event now over",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
021,Help MocoQueen <help@mocoqueen.com>,"Dear Monica,  You're very welcome! 😊  Yes, as long as the lenses are kept unopened and in their original sealed packaging, they will stay perfectly go",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
022,Help MocoQueen <help@mocoqueen.com>,"Dear Amanda,  Thank you so much for getting back to us, and we completely understand! 💖  If you have a specific “cyborg”-inspired look in mind, we’d l",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
023,Help MocoQueen <help@mocoqueen.com>,"Dear  Tripp Hanley,  Hi! No worries — your order #134888 is still being processed and will be shipped out as scheduled.  Thank you for the update, and",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
024,Help MocoQueen <help@mocoqueen.com>,"Dear Rebecca,  Thank you for reaching out to us.Your inquiry has been addressed in the email we sent previously.  Please check your inbox for our resp",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
025,Help MocoQueen <help@mocoqueen.com>,"Dear Alice,  We have processed a refund for your order. The refund will be credited back to the original payment method used for your purchase.  Typic",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
026,Help MocoQueen <help@mocoqueen.com>,"Dear Xxfruitcakexx,  You're very welcome! 😊 We're so glad we could get everything updated for you smoothly.  Your order will be on its way shortly, an",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
027,Help MocoQueen <help@mocoqueen.com>,"Dear Oanh,  Thank you so much for your decision to retain your order with us. We greatly appreciate your understanding and continued support!  As a to",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
028,Help MocoQueen <help@mocoqueen.com>,"Dear Mia,  Thank you for reaching out to us.  We regret to inform you that your order has already been processed and packed at our warehouse, so we ar",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
029,Help MocoQueen <help@mocoqueen.com>,"Dear Laura,  We have updated the delivery address to the correct one as per your request. Please check the updated address to ensure everything is acc",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
030,Help MocoQueen <help@mocoqueen.com>,"Dear Christina,  Thank you for your understanding and for letting us know about the situation. We sincerely apologize for the inconvenience caused by",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
031,Help MocoQueen <help@mocoqueen.com>,"Dear Vod,  Thank you so much for your message! 😊  We truly appreciate your interest in picking up lenses in person. While our warehouse is indeed loca",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
032,Help MocoQueen <help@mocoqueen.com>,"Dear Vod,  Thank you so much for your message! 😊  We truly appreciate your interest in picking up lenses in person. While our warehouse is indeed loca",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
033,Help MocoQueen <help@mocoqueen.com>,"Dear Cami,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have experie",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
034,Help MocoQueen <help@mocoqueen.com>,"Dear Connor,  Thank you so much for reaching out to us! 😊  We’d love to help you with your question about the Zombie Sclera lenses. Could you kindly l",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
035,Help MocoQueen <help@mocoqueen.com>,"Dear Nina,  Thank you for reaching out regarding your order. I apologize for the inconvenience caused by the delay in your shipment.  We have reviewed",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
036,Help MocoQueen <help@mocoqueen.com>,"Dear Micaiah,  Thank you for reaching out to us! 😊  If you can reply to us within the next two hours, we will be able to arrange to reship your origin",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
037,Help MocoQueen <help@mocoqueen.com>,"Thank you for your kind words💗🫶🏻  On Thu, May 8, 2025 at 7:38 PM Heto Hatred <hetohatred@gmail.com> wrote:  > More than happy to leave a review, and I",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
038,Help MocoQueen <help@mocoqueen.com>,"Dear Santiago,  Thank you so much for the update — that sounds perfect!  If you have any other questions or need further assistance, please feel free",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
039,Help MocoQueen <help@mocoqueen.com>,"Dear RaeAnn,  I hope this message finds you well! 😊  I just wanted to follow up on our previous discussion about wholesale lens prices.We were so exci",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
040,Help MocoQueen <help@mocoqueen.com>,"Dear Wyatt,  Thank you so much for reaching out to us and sharing your experience. We truly appreciate your honesty and your continued support as a va",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
041,Help MocoQueen <help@mocoqueen.com>,"Dear Emma,  Thank you so much for reaching out! 😊  Your order (#134072) was placed on 5/9, and as our warehouse does not process shipments over the we",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
042,Help MocoQueen <help@mocoqueen.com>,"Dear Inara,  Thank you for reaching out to us! 😊  We completely understand your concern and sincerely apologize for the inconvenience caused by the de",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
043,Help MocoQueen <help@mocoqueen.com>,"Dear Shiloh,  Thank you so much for your prompt reply and for providing the additional information.  We’re happy to let you know that we have successf",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
044,Help MocoQueen <help@mocoqueen.com>,"Dear Daniel,  Thank you so much for reaching out to us, and we're very sorry to hear about the trouble you've experienced with the delivery of your or",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
045,Help MocoQueen <help@mocoqueen.com>,"Dear Rebecca,  Thank you for reaching out to us, and I’m truly sorry for the inconvenience caused by the delayed delivery 😔.  After carefully reviewin",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
046,Help MocoQueen <help@mocoqueen.com>,"Dear natalie,  Thank you so much for reaching out to us again, and I’m very sorry if you felt overlooked — we completely understand how important this",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
047,Help MocoQueen <help@mocoqueen.com>,"Dear Kevin,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have experi",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
048,Help MocoQueen <help@mocoqueen.com>,"Dear Eddie,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have experi",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
049,Help MocoQueen <help@mocoqueen.com>,"Dear Erandi,  Thank you so much for your kind message — we truly appreciate your support and we're so glad to hear that you've placed a new order! 😊",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
050,Help MocoQueen <help@mocoqueen.com>,"Dear Marisa,  Thank you for your email.  Our shipping details at this time are as follows：  *Order Processing: 1 Business Day* USPS Standard Delivery",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
051,Help MocoQueen <help@mocoqueen.com>,"Dear Parker,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have exper",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
052,Help MocoQueen <help@mocoqueen.com>,"Dear Kendra Truitt,  We have updated the delivery address to the correct one as per your request. Please check the updated address to ensure everythin",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
053,Help MocoQueen <help@mocoqueen.com>,"Dear Lyn,  Thank you so much for reaching out, and I’m truly sorry to hear about the trouble with your missing package. I completely understand how fr",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
054,Help MocoQueen <help@mocoqueen.com>,"Dear Grant,  Thank you for your understanding, and I'm truly sorry for the trouble you're experiencing with the lenses. 💔  Unfortunately, once the len",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
055,Help MocoQueen <help@mocoqueen.com>,"Dear  Zach,  Thank you for reaching out regarding your order. I apologize for the inconvenience caused by the delay in your shipment.  We have reviewe",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
056,Help MocoQueen <help@mocoqueen.com>,"Dear hany,  Thank you for reaching out to us!  We wanted to let you know that your order (#135157), placed on *May 16th, 2025*, will be shipped soon.",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
057,Help MocoQueen <help@mocoqueen.com>,"Dear Frejya,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have exper",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
058,Help MocoQueen <help@mocoqueen.com>,"Dear Euforia,  Thank you so much for your lovely message! We’re absolutely thrilled to hear that your contact lenses have finally arrived safely and t",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
059,Help MocoQueen <help@mocoqueen.com>,"Dear Grace,  Thank you so much for reaching out to us!  We’re truly sorry, but if the shipment is going to the UK, we can only send it via internation",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
060,Help MocoQueen <help@mocoqueen.com>,"Dear Mackenzie,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have ex",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
061,Help MocoQueen <help@mocoqueen.com>,"Dear Ryan,  Thank you for reaching out to us.Your inquiry has been addressed in the email we sent previously.  Please check your inbox for our respons",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
062,Help MocoQueen <help@mocoqueen.com>,"Dear Ramiyah,  Thank you so much for reaching out, and no worries at all — we completely understand how easy it is to accidentally input the wrong ema",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
063,Help MocoQueen <help@mocoqueen.com>,"Dear Kate,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have experie",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
064,Help MocoQueen <help@mocoqueen.com>,"Dear JMO,  Thank you so much for your kind reply! 💛 We’re truly happy to hear that you’re willing to accept the coupon, and we’re excited to have the",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
065,Help MocoQueen <help@mocoqueen.com>,"Dear Jeremy,  Thank you for your email.  Our shipping details at this time are as follows：  Order Processing: 1 Business Day USPS Standard Delivery Ti",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
066,Help MocoQueen <help@mocoqueen.com>,"Dear julie, Thank you so much for reaching out! 💖  Yes, even for non-prescription (also called ""plano"") contact lenses, a valid contact lens prescript",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
067,Help MocoQueen <help@mocoqueen.com>,"Dear Katelynn,  Thank you for reaching out to us.Your inquiry has been addressed in the email we sent previously.  Please check your inbox for our res",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
068,Help MocoQueen <help@mocoqueen.com>,"Dear KyFx,  Thank you for your kind words💗💗🫶🏻  If you are satisfied with our customer service, I would appreciate it if you could take a moment to cli",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
069,Help MocoQueen <help@mocoqueen.com>,"Dear LUNA,  Thank you for reaching out regarding your order. I apologize for the inconvenience caused by the delay in your shipment.  We have reviewed",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
070,Help MocoQueen <help@mocoqueen.com>,"Dear Marisa,  Thank you for bringing this matter to our attention, and we sincerely apologize for the inconvenience caused by the issue you have exper",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
071,Help MocoQueen <help@mocoqueen.com>,"Dear Solid,  Thank you for providing your order number, and we’re so glad to hear that your items have arrived!  [image: image.png] According to our s",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
072,Help MocoQueen <help@mocoqueen.com>,"Dear Matthew,  Thank you so much for reaching out! 😊  For the look inspired by Benimaru from *Fire Force*, the style that comes closest to what you're",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
073,Help MocoQueen <help@mocoqueen.com>,"Dear Madison,  Thank you so much for your message! 🌷  We're glad to hear your package has arrived, and we truly appreciate your patience throughout th",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
074,Help MocoQueen <help@mocoqueen.com>,"Dear Madison,  We sincerely apologize for the delay and for not getting back to you sooner. We completely understand how important it is for your orde",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
075,Help MocoQueen <help@mocoqueen.com>,"Dear Seth,  Thank you so much for your kind understanding — we truly appreciate your patience and support! 💖  As requested, we’ve issued your *$15 *co",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
076,Help MocoQueen <help@mocoqueen.com>,"Dear Vincent,  We have checked the USPS record, and it shows that your package was delivered on 4/5. We understand that you may not have received it,",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
077,Help MocoQueen <help@mocoqueen.com>,"Dear Heaven,  Thank you so much for your response, and I'm truly sorry to hear that you didn’t receive your package in time for Momocon. We completely",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
078,Help MocoQueen <help@mocoqueen.com>,"Dear Marie,  We have checked the USPS record, and it shows that your package was delivered on 6/2. We understand that you may not have received it, an",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
079,Help MocoQueen <help@mocoqueen.com>,"Dear Maggie,  We have updated the delivery address to the correct one as per your request. Please check the updated address to ensure everything is ac",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
080,Help MocoQueen <help@mocoqueen.com>,"Dear Bruh,  Thank you so much for reaching out. I’m truly sorry to hear about the delay with your order, and I completely understand how disappointing",Shipping Delay,We apologize for the delay. Your package is in transit and we are monitoring it closely. Thank you for your patience.
081,Help MocoQueen <help@mocoqueen.com>,"Dear Katrina,  Thank you so much for your prompt reply and for letting us know. 💛  We’re truly sorry to hear that the lenses caused irritation to your",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
082,Help MocoQueen <help@mocoqueen.com>,"Dear Amelia,  Thank you for your kind words🫶🏻🫶🏻💗💗  If you are satisfied with our customer service, I would appreciate it if you could take a moment to",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
083,Help MocoQueen <help@mocoqueen.com>,"Dear Nina,  Thank you so much for your decision to retain your order with us. We greatly appreciate your understanding and continued support!  As a to",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
084,Help MocoQueen <help@mocoqueen.com>,"Dear Milo,  Thank you for your email.  The delivery speed will depend on the shipping ways you choose. If you opt for UPS, the delivery usually takes",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
085,Help MocoQueen <help@mocoqueen.com>,"Dear Avalon,  Thank you so much for reaching out, and we're truly sorry for any confusion or inconvenience this may have caused.  From the photo you p",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
086,Help MocoQueen <help@mocoqueen.com>,"Dear Brian,  Thank you for reaching out to us! 😊  We’ve checked the tracking information for your order (#133697) with the tracking number *9400150206",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
087,Help MocoQueen <help@mocoqueen.com>,"Dear Anna,  Thank you for your prompt response! We have successfully added the lenses you selected to your order. [image: image.png]  We will process",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
088,Help MocoQueen <help@mocoqueen.com>,"Dear Caitlyn,  For the return process please see our return refund policy: https://mocoqueen.com/pages/return-exchange-and-cancellation  Return Fee ·O",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
089,Help MocoQueen <help@mocoqueen.com>,"Dear Ari, Thank you for ordering our products.We have checked your *order number 134615 *and found that the shipment has been returned to our warehous",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
090,Help MocoQueen <help@mocoqueen.com>,"Dear Wendy,  We have updated the delivery address to the correct one as per your request. Please check the updated address to ensure everything is acc",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
091,Help MocoQueen <help@mocoqueen.com>,"Dear Abenaa,  Thank you so much for placing your first order with us and for submitting your prescription! 😊 We're excited to have you as a new custom",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
092,Help MocoQueen <help@mocoqueen.com>,"Dear Caley,  We have processed a refund for your order. The refund will be credited back to the original payment method used for your purchase.  Typic",Cancellation,Your order has been canceled as requested. A refund will be issued within 3-5 business days.
093,Help MocoQueen <help@mocoqueen.com>,"Dear Justin,  We have updated the delivery address to the correct one as per your request. Please check the updated address to ensure everything is ac",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
094,Help MocoQueen <help@mocoqueen.com>,"Dear Santiago,  Absolutely!! 😊 You can find us on Instagram at @moco_queen — we’d absolutely love to see your cosplay photos! Feel free to tag us when",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
095,Help MocoQueen <help@mocoqueen.com>,"Dear Caitlyn,  For the return process please see our return refund policy: https://mocoqueen.com/pages/return-exchange-and-cancellation  Return Fee ·O",Return Request,"Hello, please return the unopened package to the following address via USPS First Class: Name: MocoQueen, Address: 20855 Ventura Blvd Ste 10AC, City: Woodland Hills, CA, Zip: 91364-0830, Country: USA. Please send us the tracking number once shipped. Refund will be processed after we receive and inspect the package. Original shipping cost is non-refundable, and return shipping is the customer's responsibility. More info: https://mocoqueen.com/pages/return-exchange-and-cancellation"
096,Help MocoQueen <help@mocoqueen.com>,"Dear Eric,  Thank you so much for getting back to us and sharing the new photos—we truly appreciate your effort and your patience throughout this proc",General Inquiry,Thank you for reaching out. We will review your message and respond shortly.
